Form_ID ,User_ID  ,Type ,Item ,Category,Dates_available ,For,Status
1,1,seeker,T shirt,Clothing,"2023-07-15 09:30:00,2023-07-28 14:45:00,2023-7-10 18:20:00",other,Not Completed
2,2,seeker,Pants,Clothing,2023-08-22 11:00:00,self,Not Completed
3,4,seeker,Data structures and Algorithms book,Books and Media,2023-06-07 16:55:00,self,Not Completed
4,1,seeker,Cat food,Pet supplies,2023-09-01 18:00:00,self,Not Completed
5,4,seeker,Andriod Tablet ,Electronics,2023-09-12 17:00:00,self,Not Completed
6,30,seeker,Hoodie,Clothing,2023-05-28 06:30:00,other,Not Completed
7,32,seeker,Jacket,Clothing,2023-05-27 01:00:00,self,Not Completed
8,33,seeker,Pants,Clothing,2023-07-18 01:00:00,other,Not Completed
9,32,seeker,vacuum cleaner,Household,2023-08-18 01:00:00,other,Not Completed
10,45,seeker,Jacket,Clothing,2023-05-11 14:00:00,other,Completed
11,16,seeker,Jacket,Clothing,"2023-03-15 09:30:00,2023-04-04 14:45:00",other,Completed
12,22,seeker,Harry Potter Books,Books and Media,2023-02-02 14:00:00,self,Completed
13,12,seeker,German A1 books,Books and Media,2023-02-12 16:00:00,self,Completed
14,14,seeker,Facial moisturizer,Hygiene Products,2023-04-15 12:00:00,self,Not Completed
15,38,seeker,Wheelchairs,Medical Supplies,"2023-08-01 12:00:00,2023-08-02 14:00:00,2023-08-01 13:00:00",self,Not Completed
16,21,seeker,Walkers,Medical Supplies,2023-09-17 18:00:00,other,Not Completed
17,30,seeker,Food,Food,"2023-07-03 08:00:00,2023-07-03 18:00:00",other,Not Completed
18,34,seeker,Hand sanitizer,Hygiene Products,2023-10-09 09:00:00,other,Not Completed
19,39,seeker,Hand sanitizer,Hygiene Products,2023-11-11 11:00:00,self,Not Completed
20,33,seeker,Face cleanser,Hygiene Products,2023-08-07 18:00:00,other,Not Completed
21,2,seeker,Baby monitor,Baby item,"2023-08-12 19:00:00,2023-07-18 20:00:00",self,Not Completed
22,1,seeker,Baby bottles,Baby item,2023-08-30 20:00:00,self,Not Completed
23,4,seeker,Baby car seat,Baby item,2023-07-15 17:00:00,self,Not Completed
24,20,seeker,Tennis racket,Sports Equipment,2023-07-10 21:00:00,self,Not Completed
25,28,seeker,Hockey stick,Sports Equipment,2023-07-23 21:00:00,self,Not Completed
26,26,seeker,Skateboard,Sports Equipment,2023-07-28 20:00:00,self,Not Completed
27,22,seeker,Bicycle,Sports Equipment,2023-08-01 21:00:00,self,Not Completed
28,14,seeker,doll house,Toys and Games,2023-09-01 17:00:00,other,Not Completed
29,12,seeker,Toy robots ,Toys and Games,2023-12-11 19:00:00,other,Not Completed
30,38,seeker,blankets,Household,2023-05-14 07:20:00,other,Completed
31,11,seeker,Arts and crafts set,Toys and Games,2023-09-09 09:00:00,self,Not Completed
32,9,seeker,Mega Bloks,Toys and Games,2023-08-01 12:00:00,other,Not Completed
33,32,seeker,Science fiction books,Books and Media,2023-08-05 16:00:00,self,Not Completed
34,40,seeker,Fifa Video Games,Books and Media,2023-07-09 14:00:00,self,Not Completed
35,41,seeker,Poetry books,Books and Media,"2023-07-07 01:00:00,2023-07-08 19:00:00,2023-07-09 20:00:00",self,Not Completed
36,45,seeker,Anatomy books,Books and Media,2023-08-03 19:00:00,self,Not Completed
37,19,seeker,psychology books,Books and Media,2023-07-10 09:00:00,self,Not Completed
38,6,seeker,pots,Household,2023-08-23 14:00:00,self,Not Completed
39,20,seeker,microwave,Household,"2023-08-16 19:00:00,2023-08-19 20:00:00,2023-08-20 20:00:00",self,Not Completed
40,39,seeker,ceiling lights,Household,2023-07-30 20:00:00,self,Not Completed
41,1,giver,Baby stroller,Baby item,2023-04-28 06:30:00,,Completed
42,40,giver,Hoodie,Clothing,2023-05-28 06:30:00,,Not Completed
43,34,giver,Jacket,Clothing,2023-05-27 01:00:00,,Not Completed
44,38,giver,Pants,Clothing,2023-07-18 01:00:00,,Not Completed
45,37,giver,vacuum cleaner,Household,2023-08-18 01:00:00,,Not Completed
46,20,giver,Jacket,Clothing,"2023-03-20 10:30:00,2023-04-04 14:45:00",,Completed
47,42,giver,Pants,Clothing,2023-03-21 10:30:00,,Completed
48,35,giver,Bicycle,Sports Equipment,2023-04-19 10:00:00,,Completed
49,39,giver,Hoodie,Clothing,2023-07-08 13:00:00,,Not Completed
50,31,giver,Oxygen concentrators,Medical Supplies,"2023-07-15 15:00:00,2023-07-15 19:00:00",,Not Completed
51,50,giver,T shirt,Clothing,2023-07-20 14:00:00,,Not Completed
52,48,giver,Jacket,Clothing,2023-08-01 19:00:00,,Not Completed
53,43,giver,baby onsies (1 year),Baby item,"2023-07-12 18:30:00,2023-07-13 18:30:00",,Not Completed
54,40,giver,baby jacket (2-3 years),Baby item,"2023-07-03 17:45:00,2023-07-30 19:00:00",,Not Completed
55,35,giver,blankets,Household,2023-05-14 07:20:00,,Completed
56,26,giver,Hard Puzzle sets,Toys and Games,2023-09-10 19:00:00,,Not Completed
57,9,giver,stuffed animals,Toys and Games,2023-10-10 17:30:00,,Not Completed
58,16,giver,dog toys,Pet supplies,2023-11-29 05:00:00,,Not Completed
59,31,giver,Pants,Clothing,2023-07-29 15:45:00,,Not Completed
60,37,giver,Train game,Toys and Games,2023-07-26 16:50:00,,Not Completed
